sentence,entity1,entity2,relation
The Texas occurred in Texas.,ambush,Texas,occurred_in
The Texas took place in Texas.,incident,Texas,occurred_in
The Delaware occurred in Delaware.,incident,Delaware,occurred_in
The Louisiana took place in Louisiana.,assault,Louisiana,occurred_in
The Georgia took place in Georgia.,shooting,Georgia,occurred_in
The Kentucky occurred in Kentucky.,incident,Kentucky,occurred_in
The Maryland took place in Maryland.,ambush,Maryland,occurred_in
The Alaska took place in Alaska.,massacre,Alaska,occurred_in
The Iowa occurred in Iowa.,massacre,Iowa,occurred_in
The Louisiana took place in Louisiana.,standoff,Louisiana,occurred_in
The Michigan happened in Michigan.,massacre,Michigan,occurred_in
The North Carolina occurred in North Carolina.,robbery,North Carolina,occurred_in
The Colorado occurred in Colorado.,shooting,Colorado,occurred_in
The New York happened in New York.,massacre,New York,occurred_in
The Florida happened in Florida.,shooting,Florida,occurred_in
The Maryland happened in Maryland.,robbery,Maryland,occurred_in
The California happened in California.,attack,California,occurred_in
The Maine happened in Maine.,riot,Maine,occurred_in
The Virginia happened in Virginia.,standoff,Virginia,occurred_in
The Ohio happened in Ohio.,ambush,Ohio,occurred_in
The Kentucky took place in Kentucky.,ambush,Kentucky,occurred_in
The Iowa took place in Iowa.,attack,Iowa,occurred_in
The Missouri took place in Missouri.,hijacking,Missouri,occurred_in
The Rhode Island happened in Rhode Island.,hijacking,Rhode Island,occurred_in
The Indiana happened in Indiana.,assault,Indiana,occurred_in
The Rhode Island occurred in Rhode Island.,robbery,Rhode Island,occurred_in
The Mississippi took place in Mississippi.,hijacking,Mississippi,occurred_in
The Pennsylvania took place in Pennsylvania.,robbery,Pennsylvania,occurred_in
The CIA was handled by CIA.,operation,CIA,handled_by
The Sheriff Department was handled by Sheriff Department.,riot,Sheriff Department,handled_by
The ATF was handled by ATF.,assault,ATF,handled_by
The Police was handled by Police.,shooting,Police,handled_by
The Local Police was handled by Local Police.,hijacking,Local Police,handled_by
The Secret Service was handled by Secret Service.,incident,Secret Service,handled_by
The Sheriff Department was handled by Sheriff Department.,assault,Sheriff Department,handled_by
The FBI was handled by FBI.,attack,FBI,handled_by
The Police was handled by Police.,attack,Police,handled_by
The Sheriff Department was handled by Sheriff Department.,hijacking,Sheriff Department,handled_by
The Secret Service was handled by Secret Service.,attack,Secret Service,handled_by
The State Troopers was handled by State Troopers.,standoff,State Troopers,handled_by
The FBI was handled by FBI.,assault,FBI,handled_by
The CIA was handled by CIA.,incident,CIA,handled_by
The State Troopers was handled by State Troopers.,standoff,State Troopers,handled_by
The CIA was handled by CIA.,standoff,CIA,handled_by
The Police was handled by Police.,operation,Police,handled_by
The Police was handled by Police.,robbery,Police,handled_by
The CIA was handled by CIA.,massacre,CIA,handled_by
The Local Police was handled by Local Police.,ambush,Local Police,handled_by
The Secret Service was handled by Secret Service.,incident,Secret Service,handled_by
The Homeland Security was handled by Homeland Security.,case,Homeland Security,handled_by
The Homeland Security was handled by Homeland Security.,massacre,Homeland Security,handled_by
The SWAT was handled by SWAT.,shooting,SWAT,handled_by
The Police was handled by Police.,shooting,Police,handled_by
The Police was handled by Police.,standoff,Police,handled_by
The Homeland Security was handled by Homeland Security.,robbery,Homeland Security,handled_by
The State Troopers was handled by State Troopers.,case,State Troopers,handled_by
The Homeland Security was handled by Homeland Security.,ambush,Homeland Security,handled_by
The ATF was handled by ATF.,attack,ATF,handled_by
The Secret Service was handled by Secret Service.,standoff,Secret Service,handled_by
The Secret Service was handled by Secret Service.,attack,Secret Service,handled_by
The Homeland Security was handled by Homeland Security.,robbery,Homeland Security,handled_by
The State Troopers was handled by State Troopers.,shooting,State Troopers,handled_by
The CIA was handled by CIA.,assault,CIA,handled_by
The Secret Service was handled by Secret Service.,hijacking,Secret Service,handled_by
The Local Police was handled by Local Police.,riot,Local Police,handled_by
The Police was handled by Police.,attack,Police,handled_by
The SWAT was handled by SWAT.,attack,SWAT,handled_by
The State Troopers was handled by State Troopers.,robbery,State Troopers,handled_by
The Homeland Security was handled by Homeland Security.,incident,Homeland Security,handled_by
The Sheriff Department was handled by Sheriff Department.,massacre,Sheriff Department,handled_by
The Police was handled by Police.,standoff,Police,handled_by
The Police was handled by Police.,standoff,Police,handled_by
The State Troopers was handled by State Troopers.,riot,State Troopers,handled_by
The CIA was handled by CIA.,riot,CIA,handled_by
The Secret Service was handled by Secret Service.,shooting,Secret Service,handled_by
The Secret Service was handled by Secret Service.,assault,Secret Service,handled_by
The Sheriff Department was handled by Sheriff Department.,operation,Sheriff Department,handled_by
The Police was handled by Police.,hijacking,Police,handled_by
Shooter19 targeted a university.,Shooter19,university,targeted_location
Shooter31 attacked the mall.,Shooter31,mall,targeted_location
Shooter37 attacked the church.,Shooter37,church,targeted_location
Shooter20 targeted a restaurant.,Shooter20,restaurant,targeted_location
Shooter46 targeted a concert.,Shooter46,concert,targeted_location
Shooter31 aimed at the park.,Shooter31,park,targeted_location
Shooter1 attacked the stadium.,Shooter1,stadium,targeted_location
Shooter19 attacked the university.,Shooter19,university,targeted_location
Shooter41 targeted a theater.,Shooter41,theater,targeted_location
Shooter33 attacked the theater.,Shooter33,theater,targeted_location
Shooter35 attacked the park.,Shooter35,park,targeted_location
Shooter46 aimed at the airport.,Shooter46,airport,targeted_location
Shooter37 targeted a theater.,Shooter37,theater,targeted_location
Shooter22 attacked the stadium.,Shooter22,stadium,targeted_location
Shooter37 aimed at the church.,Shooter37,church,targeted_location
Shooter35 aimed at the airport.,Shooter35,airport,targeted_location
Shooter35 aimed at the concert.,Shooter35,concert,targeted_location
Shooter14 attacked the concert.,Shooter14,concert,targeted_location
Shooter27 attacked the university.,Shooter27,university,targeted_location
Shooter49 targeted a concert.,Shooter49,concert,targeted_location
Shooter48 attacked the airport.,Shooter48,airport,targeted_location
Shooter40 attacked the concert.,Shooter40,concert,targeted_location
Shooter20 aimed at the park.,Shooter20,park,targeted_location
Shooter7 targeted a concert.,Shooter7,concert,targeted_location
Shooter20 aimed at the stadium.,Shooter20,stadium,targeted_location
Shooter35 targeted a church.,Shooter35,church,targeted_location
Shooter46 attacked the concert.,Shooter46,concert,targeted_location
Shooter2 attacked the theater.,Shooter2,theater,targeted_location
Shooter17 aimed at the park.,Shooter17,park,targeted_location
Shooter7 aimed at the airport.,Shooter7,airport,targeted_location
Shooter40 aimed at the concert.,Shooter40,concert,targeted_location
Shooter29 targeted a university.,Shooter29,university,targeted_location
Shooter7 targeted a theater.,Shooter7,theater,targeted_location
Shooter37 aimed at the university.,Shooter37,university,targeted_location
Shooter3 attacked the airport.,Shooter3,airport,targeted_location
Shooter34 aimed at the restaurant.,Shooter34,restaurant,targeted_location
Shooter6 aimed at the mall.,Shooter6,mall,targeted_location
Shooter23 targeted a stadium.,Shooter23,stadium,targeted_location
Shooter44 targeted a park.,Shooter44,park,targeted_location
Shooter20 targeted a stadium.,Shooter20,stadium,targeted_location
Shooter25 aimed at the concert.,Shooter25,concert,targeted_location
Shooter22 targeted a school.,Shooter22,school,targeted_location
Shooter17 aimed at the restaurant.,Shooter17,restaurant,targeted_location
Shooter18 attacked the theater.,Shooter18,theater,targeted_location
Shooter14 attacked the church.,Shooter14,church,targeted_location
Shooter24 aimed at the airport.,Shooter24,airport,targeted_location
Shooter22 targeted a stadium.,Shooter22,stadium,targeted_location
Shooter37 targeted a stadium.,Shooter37,stadium,targeted_location
Shooter5 targeted a park.,Shooter5,park,targeted_location
Shooter39 attacked the restaurant.,Shooter39,restaurant,targeted_location
